code_canton;annee;code_departement;impot_moyen;population;agriculteurs_exploitants;artisans_comm_chefs_entr;cadres_prof_intel_sup;professions_intermediaires;employes;ouvriers;retraites;autres_sans_activite_prof;population_15_29;population_30_44;population_45_59;population_60_74;population_75_plus;population_hommes;inscrits;abstentions;blancs_nuls;vote_extreme_gauche;vote_gauche;vote_centre;vote_droite;vote_extreme_droite;pct_population_hommes;pct_agriculteurs_exploitants;pct_artisans_comm_chefs_entr;pct_cadres_prof_intel_sup;pct_professions_intermediaires;pct_employes;pct_ouvriers;pct_retraites;pct_autres_sans_activite_prof;pct_population_15_29;pct_population_30_44;pct_population_45_59;pct_population_60_74;pct_population_75_plus;pct_abstentions;pct_blancs_nuls;exprimes;pct_vote_extreme_gauche;pct_vote_gauche;pct_vote_centre;pct_vote_droite;pct_vote_extreme_droite;parti_gagnant;niveau_richesse
1399;2017;13;3542.40;45528;87;1019;3476;5296;6749;4524;9040;6965;8278;8912;8878;6675;4408;21950;31205;7136;621;464;5554;4908;6101;6421;48.21;0.23;2.74;9.36;14.25;18.16;12.18;24.33;18.75;22.28;23.99;23.90;17.97;11.87;22.87;2.58;23448;1.98;23.69;20.93;26.02;27.38;extreme_droite;3
1399;2022;13;3647.20;45009;95;1063;3730;5490;6257;4275;9118;6930;8003;8723;8819;6722;4690;21913;32330;9360;471;233;6343;5880;1677;8366;48.69;0.26;2.88;10.09;14.85;16.93;11.57;24.67;18.75;21.65;23.60;23.86;18.19;12.69;28.95;2.05;22499;1.04;28.19;26.13;7.45;37.18;extreme_droite;3
8301;2007;83;1723.18;36543;370;1414;1333;3492;5075;3501;9133;5252;5594;7222;7157;6132;3467;17631;25259;4099;267;1147;5371;3110;7719;3546;48.25;1.25;4.78;4.51;11.81;17.16;11.84;30.89;17.76;18.92;24.42;24.20;20.74;11.72;16.23;1.26;20893;5.49;25.71;14.89;36.95;16.97;droite;2
8301;2012;83;1978.12;39121;294;1483;1625;3924;5506;3805;10131;5020;5992;6978;7766;7071;3893;18940;27539;5183;389;307;7492;1384;6910;5874;48.41;0.92;4.67;5.11;12.34;17.32;11.97;31.87;15.79;18.90;22.01;24.50;22.31;12.28;18.82;1.74;21967;1.40;34.11;6.30;31.46;26.74;gauche;2
8301;2017;83;3512.15;40372;278;1712;1585;3942;5385;3810;10362;5954;6011;6978;7964;7779;4221;19513;29584;6512;571;413;4310;4641;5539;7598;48.33;0.84;5.18;4.80;11.94;16.30;11.54;31.37;18.03;18.24;21.18;24.17;23.61;12.81;22.01;2.47;22501;1.84;19.15;20.63;24.62;33.77;extreme_droite;3
8301;2022;83;3358.97;40893;402;1832;1795;4123;5250;3827;10601;5881;6076;6935;7970;8383;4455;19931;31218;8135;450;264;5486;5418;1494;9971;48.74;1.19;5.43;5.32;12.23;15.57;11.35;31.45;17.45;17.97;20.51;23.57;24.79;13.17;26.06;1.95;22633;1.17;24.24;23.94;6.60;44.06;extreme_droite;3
8302;2007;83;3361.08;39755;309;1883;1541;4028;5553;3320;11140;5557;5590;7635;8615;7602;3920;19364;31995;5139;287;1121;5520;3783;11817;4328;48.71;0.93;5.65;4.62;12.08;16.66;9.96;33.42;16.67;16.76;22.89;25.82;22.79;11.75;16.06;1.07;26569;4.22;20.78;14.24;44.48;16.29;droite;5
8302;2012;83;3286.08;39285;267;2081;1615;3882;5692;3018;12168;4672;5143;6438;8559;8677;4766;18907;33954;6215;421;296;7355;1745;11312;6610;48.13;0.80;6.23;4.84;11.62;17.04;9.04;36.44;13.99;15.31;19.17;25.49;25.84;14.19;18.30;1.52;27318;1.08;26.92;6.39;41.41;24.20;droite;5
8302;2017;83;5262.06;43383;238;2323;1990;4648;6100;3221;14252;5109;5966;6438;9357;9891;5925;20833;36515;6866;624;457;4408;7509;6840;9811;48.02;0.63;6.13;5.25;12.27;16.10;8.50;37.62;13.49;15.88;17.13;24.90;26.32;15.77;18.80;2.10;29025;1.57;15.19;25.87;23.57;33.80;extreme_droite;5
8302;2022;83;5579.36;45333;217;2445;2134;4949;6239;3367;15367;5257;6035;6661;9593;10752;6362;21759;38766;8703;538;281;4799;8688;2384;13373;48.00;0.54;6.12;5.34;12.38;15.61;8.42;38.44;13.15;15.32;16.90;24.35;27.29;16.15;22.45;1.79;29525;0.95;16.25;29.43;8.07;45.29;extreme_droite;5
